NIS-CODE;GEMEENTE;TOTAAL BEVOLKING
25112;WAVRE;33231
25117;CHASTRE;7118
25118;HELECINE;3274
25119;LASNE;14083
25120;ORP-JAUCHE;8387
25121;OTTIGNIES-LOUVAIN-LA-NEUVE;31182
25122;RAMILLIES;6201
25123;REBECQ;10550
25124;WALHAIN;6549
51004;ATH;28526
51008;BELOEIL;13769
51009;BERNISSART;11673
51012;BRUGELETTE;3501
51014;CHIEVRES;6666
51017;ELLEZELLES;5901
51019;VLOESBERG;3483
51065;FRASNES-LEZ-ANVAING;11439
52010;CHAPELLE-LEZ-HERLAIMONT;14561
52011;CHARLEROI;203871
52012;CHATELET;36196
52015;COURCELLES;30502
52018;FARCIENNES;11177
52021;FLEURUS;22594
52022;FONTAINE-L'EVEQUE;17258
52025;GERPINNES;12248
52043;MANAGE;22501
52048;MONTIGNY-LE-TILLEUL;10125
52055;PONT-A-CELLES;16807
52063;SENEFFE;11006
52074;AISEAU-PRESLES;10729
52075;LES BONS VILLERS;9136
53014;BOUSSU;19896
53020;DOUR;16921
53028;FRAMERIES;21253
53039;HENSIES;6778
53044;JURBISE;10104
53046;LENS;4277
53053;MONS;93072
53065;QUAREGNON;18862
53068;QUIEVRAIN;6716
53070;SAINT-GHISLAIN;23004
53082;COLFONTAINE;20430
53083;HONNELLES;5058
53084;QUEVY;7914
54007;MOESKROEN;56011
54010;KOMEN-WAASTEN;17884
55004;BRAINE-LE-COMTE;21327
55010;EDINGEN;13091
55022;LA LOUVIERE;78774
55023;LESSINES;18377
55035;LE ROEULX;8191
55039;SILLY;8149
55040;SOIGNIES;26502
55050;ECAUSSINNES;10750
56001;ANDERLUES;11895
56005;BEAUMONT;7060
56011;BINCHE;33002
56016;CHIMAY;9847
56022;ERQUELINNES;9722
56029;FROIDCHAPELLE;3831
56044;LOBBES;5693
56049;MERBES-LE-CHATEAU;4251
56051;MOMIGNIES;5296
56078;THUIN;14565
56085;ESTINNES;7750
56086;HAM-SUR-HEURE;13464
56087;MORLANWELZ;19118
56088;SIVRY-RANCE;4912
57003;ANTOING;7684
57018;CELLES;5553
57027;ESTAIMPUIS;10066
57062;PECQ;5552
57064;PERUWELZ;17216
57072;RUMES;5134
57081;TOURNAI;69593
57093;BRUNEHAUT;7889
57094;LEUZE-EN-HAINAUT;13514
57095;MONT-DE-L'ENCLUS;3579
61003;AMAY;13863
61010;BURDINNE;2986
61012;CLAVIER;4462
61019;FERRIERES;4715
61024;HAMOIR;3798
61028;HERON;5000
61031;HUY;21205
61039;MARCHIN;5231
61041;MODAVE;4029
61043;NANDRIN;5727
61048;OUFFET;2749
61063;VERLAINE;3918
61068;VILLERS-LE-BOUILLET;6310
61072;WANZE;13235
61079;ANTHISNES;4097
61080;ENGIS;5809
61081;TINLOT;2594
62003;ANS;27769
62006;AWANS;8998
62009;AYWAILLE;11689
62011;BASSENGE;8806
62015;BEYNE-HEUSAY;11995
62022;CHAUDFONTAINE;20944
62026;COMBLAIN-AU-PONT;5358
62027;DALHEM;6996
62032;ESNEUX;13228
62038;FLERON;16220
62051;HERSTAL;38772
62060;JUPRELLE;8997
62063;LIEGE;195576
62079;OUPEYE;24302
62093;SAINT-NICOLAS;23320
62096;SERAING;63575
62099;SOUMAGNE;16302
62100;SPRIMONT;13966
62108;VISE;17333
62118;GRACE-HOLLOGNE;22009
62119;BLEGNY;13130
62120;FLEMALLE;25593
62121;NEUPRE;9786
62122;TROOZ;8076
63001;AMBLEVE;5459
63003;AUBEL;4138
63004;BAELEN;4312
63012;BULLANGE;5532
63013;BUTGENBACH;5731
63020;DISON;15142
63023;EUPEN;18949
63035;HERVE;17166
63038;JALHAY;8394
63040;KELMIS;10874
63045;LIERNEUX;3493
63046;LIMBOURG;5776
63048;LONTZEN;5516
63049;MALMEDY;12336
63057;OLNE;3818
63058;PEPINSTER;9726
63061;RAEREN;10618
63067;SAINT-VITH;9451
63072;SPA;10579
63073;STAVELOT;6895
63075;STOUMONT;3079
63076;THEUX;11992
63079;VERVIERS;55936
63080;WAIMES;7110
63084;WELKENRAEDT;9703
63086;TROIS-PONTS;2542
63087;BURG-REULAND;3998
63088;PLOMBIERES;9907
63089;THIMISTER-CLERMONT;5496
64008;BERLOZ;2924
64015;BRAIVES;5948
64021;CRISNEE;3087
64023;DONCEEL;2962
64025;FEXHE-LE-HAUT-CLOCHER;3224
64029;GEER;3199
64034;HANNUT;15583
64047;LINCENT;3200
64056;OREYE;3635
64063;REMICOURT;5709
64065;SAINT-GEORGES-SUR-MEUSE;6529
64074;WAREMME;14769
64075;WASSEIGES;2718
64076;FAIMES;3777
81001;ARLON;28289
81003;ATTERT;5166
81004;AUBANGE;16031
81013;MARTELANGE;1719
81015;MESSANCY;7999
82003;BASTOGNE;15098
82005;BERTOGNE;3212
82009;FAUVILLERS;2216
82014;HOUFFALIZE;5044
82032;VIELSALM;7468
82036;VAUX-SUR-SURE;5235
82037;GOUVY;5017
82038;SAINTE-ODE;2415
83012;DURBUY;11207
83013;EREZEE;3089
83028;HOTTON;5448
83031;LA ROCHE-EN-ARDENNE;4247
83034;MARCHE-EN-FAMENNE;17419
83040;NASSOGNE;5306
83044;RENDEUX;2502
83049;TENNEVILLE;2697
83055;MANHAY;3313
84009;BERTRIX;8494
84010;BOUILLON;5427
84016;DAVERDISSE;1405
84029;HERBEUMONT;1559
84033;LEGLISE;4796
84035;LIBIN;4908
84043;NEUFCHATEAU;7277
84050;PALISEUL;5220
84059;SAINT-HUBERT;5647
84068;TELLIN;2478
84075;WELLIN;3001
84077;LIBRAMONT-CHEVIGNY;10579
85007;CHINY;5167
85009;ETALLE;5684
85011;FLORENVILLE;5512
85024;MEIX-DEVANT-VIRTON;2742
85026;MUSSON;4431
85034;SAINT-LEGER;3361
85039;TINTIGNY;3969
85045;VIRTON;11508
85046;HABAY;8260
85047;ROUVROY;2076
91005;ANHEE;7071
91013;BEAURAING;8858
91015;BIEVRE;3218
91030;CINEY;15661
91034;DINANT;13584
91054;GEDINNE;4457
91059;HAMOIS;7070
91064;HAVELANGE;5051
91072;HOUYET;4646
91103;ONHAYE;3148
91114;ROCHEFORT;12474
91120;SOMME-LEUZE;5027
91141;YVOIR;8882
91142;HASTIERE;5703
91143;VRESSE-SUR-SEMOIS;2743
92003;ANDENNE;25702
92006;ASSESSE;6693
92035;EGHEZEE;15415
92045;FLOREFFE;7883
92048;FOSSES-LA-VILLE;10037
92054;GESVES;6839
92087;METTET;12789
92094;NAMUR;110096
92097;OHEY;4798
92101;PROFONDEVILLE;11677
92114;SOMBREFFE;8162
92137;SAMBREVILLE;27507
92138;FERNELMONT;7354
92140;JEMEPPE-SUR-SAMBRE;18644
92141;LA BRUYERE;8923
92142;GEMBLOUX;24153
93010;CERFONTAINE;4837
93014;COUVIN;13897
93018;DOISCHE;2919
93022;FLORENNES;11183
93056;PHILIPPEVILLE;9001
93088;WALCOURT;18193
93090;VIROINVAL;5810
